timestamp,heart_rate,steps,spo2,pm25,pm10,co2,temp,humidity,risk
2025-01-01 00:00:00,70.83,47,97.19,24.7,26.38,371.35,27.95,62.44,0
2025-01-01 00:01:00,74.44,49,97.11,65.61,72.35,500.29,29.08,78.81,0
2025-01-01 00:02:00,53.64,49,96.52,84.89,94.51,535.25,24.78,35.24,1
2025-01-01 00:03:00,91.4,44,93.74,68.12,75.59,454.3,28.5,74.47,0
2025-01-01 00:04:00,57.07,48,96.85,49.28,60.46,332.69,26.95,83.5,0
2025-01-01 00:05:00,66.58,65,97.54,49.32,49.8,366.15,27.22,75.88,0
2025-01-01 00:06:00,80.03,46,95.18,51.96,55.29,391.04,26.03,52.29,0
2025-01-01 00:07:00,62.55,41,97.7,45.34,51.57,409.45,31.28,49.02,0
2025-01-01 00:08:00,64.42,48,96.44,31.18,35.09,446.26,31.06,30.37,0
2025-01-01 00:09:00,65.91,52,98.4,6.53,12.87,372.08,26.68,88.08,0
2025-01-01 00:10:00,80.51,43,94.81,28.36,37.93,440.76,30.55,66.65,0
2025-01-01 00:11:00,97.92,50,97.19,58.33,72.43,438.29,25.9,54.91,0
2025-01-01 00:12:00,75.42,45,98.4,64.9,71.43,457.05,32.04,68.12,0
2025-01-01 00:13:00,63.82,45,97.97,58.06,61.82,397.58,28.81,27.15,0
2025-01-01 00:14:00,80.39,65,95.85,47.05,49.47,477.55,30.07,51.25,0
2025-01-01 00:15:00,69.04,54,99.37,31.53,39.87,289.69,20.14,66.43,0
2025-01-01 00:16:00,74.81,52,96.71,79.77,81.21,516.97,32.72,80.54,1
2025-01-01 00:17:00,86.75,64,95.26,60.07,68.49,342.16,28.2,86.74,0
2025-01-01 00:18:00,67.52,55,96.17,56.94,59.99,452.05,27.22,20.4,0
2025-01-01 00:19:00,75.09,51,97.83,15.5,27.61,485.88,26.0,34.39,0
2025-01-01 00:20:00,66.22,44,95.32,43.29,45.21,439.36,29.16,78.08,0
2025-01-01 00:21:00,73.44,54,97.84,58.88,70.39,372.77,30.91,35.23,0
2025-01-01 00:22:00,77.57,48,94.98,56.4,62.02,391.7,24.8,34.79,0
2025-01-01 00:23:00,65.11,51,96.87,40.98,42.01,371.13,25.09,60.1,0
2025-01-01 00:24:00,71.61,54,91.92,82.12,82.42,420.84,29.64,52.88,1
2025-01-01 00:25:00,72.64,50,94.04,70.77,76.07,445.7,28.56,48.62,0
2025-01-01 00:26:00,68.62,49,96.8,34.61,40.78,342.31,26.47,27.34,0
2025-01-01 00:27:00,63.12,65,96.79,47.46,48.85,408.3,28.2,21.07,0
2025-01-01 00:28:00,60.79,49,95.41,64.58,66.95,465.79,32.69,88.52,0
2025-01-01 00:29:00,73.47,49,95.06,59.84,61.29,458.57,28.95,84.91,0
2025-01-01 00:30:00,72.31,44,95.32,19.28,25.42,371.15,25.85,46.65,0
2025-01-01 00:31:00,97.31,45,96.35,42.55,49.47,388.76,29.26,64.78,0
2025-01-01 00:32:00,50.65,37,97.17,48.97,54.82,384.58,25.88,45.46,0
2025-01-01 00:33:00,76.13,50,99.77,56.47,63.42,411.94,29.04,83.28,0
2025-01-01 00:34:00,78.7,56,97.27,56.32,58.7,464.15,24.87,54.56,0
2025-01-01 00:35:00,88.6,47,99.67,42.06,50.73,416.79,25.4,71.78,0
2025-01-01 00:36:00,80.02,45,96.15,74.46,82.24,403.53,30.12,21.06,0
2025-01-01 00:37:00,66.56,46,98.22,36.51,36.56,435.59,30.0,23.69,0
2025-01-01 00:38:00,75.0,45,96.59,31.63,33.62,278.54,27.5,38.89,0
2025-01-01 00:39:00,80.42,49,98.0,49.68,54.01,447.83,28.22,28.36,0
2025-01-01 00:40:00,71.86,56,92.84,61.97,67.3,456.11,26.61,39.55,0
2025-01-01 00:41:00,82.71,51,96.83,38.06,45.17,453.59,26.4,48.13,0
2025-01-01 00:42:00,56.32,56,95.99,31.59,39.51,313.81,27.47,75.62,0
2025-01-01 00:43:00,92.31,44,94.92,80.01,83.78,360.59,31.86,86.29,1
2025-01-01 00:44:00,89.68,59,95.88,50.18,71.3,509.29,27.9,67.33,0
2025-01-01 00:45:00,71.64,50,96.13,53.18,60.93,425.28,28.26,24.26,0
2025-01-01 00:46:00,81.11,49,95.6,55.22,62.63,403.83,28.55,38.25,0
2025-01-01 00:47:00,75.48,64,95.96,49.11,61.54,363.56,25.53,61.09,0
2025-01-01 00:48:00,66.71,56,95.93,49.72,55.91,518.91,23.43,66.3,0
2025-01-01 00:49:00,75.88,48,97.44,46.09,50.68,458.89,34.78,79.29,0
2025-01-01 00:50:00,85.0,64,99.6,48.86,48.99,267.85,29.29,67.94,0
2025-01-01 00:51:00,71.19,62,96.72,44.13,51.24,427.7,28.74,44.01,0
