timestamp,heart_rate,steps,spo2,pm25,pm10,co2,temp,humidity,risk
2025-01-01 00:00:00,92.89,46,95.16,44.97,48.58,439.91,24.47,59.62,0
2025-01-01 00:01:00,79.37,66,96.07,81.9,90.7,453.77,27.69,76.87,1
2025-01-01 00:02:00,75.96,48,95.79,11.92,16.82,377.95,28.53,63.98,0
2025-01-01 00:03:00,56.37,47,97.65,21.75,25.87,359.91,28.71,49.85,0
2025-01-01 00:04:00,72.23,50,96.8,58.96,70.33,464.47,26.22,69.1,0
2025-01-01 00:05:00,71.45,50,97.53,38.9,53.28,321.84,24.7,31.87,0
2025-01-01 00:06:00,74.17,47,97.21,83.19,85.59,443.46,28.98,37.75,1
2025-01-01 00:07:00,68.73,61,94.62,52.26,66.33,395.28,29.26,89.98,0
2025-01-01 00:08:00,74.56,45,96.81,83.46,87.01,364.21,32.88,25.58,1
2025-01-01 00:09:00,70.23,60,97.39,55.49,56.65,479.09,30.2,33.76,0
2025-01-01 00:10:00,61.86,59,97.66,74.51,81.25,402.59,23.96,85.15,0
2025-01-01 00:11:00,83.85,46,93.88,54.21,57.65,437.18,25.77,81.53,0
2025-01-01 00:12:00,83.81,55,95.74,29.24,35.42,520.32,25.55,36.35,0
2025-01-01 00:13:00,92.1,60,97.96,26.34,28.16,424.26,27.35,38.53,0
2025-01-01 00:14:00,75.5,59,98.12,53.25,58.15,440.77,29.14,84.32,0
2025-01-01 00:15:00,70.95,49,97.73,71.4,76.28,416.74,23.8,33.0,0
2025-01-01 00:16:00,69.55,56,98.0,71.86,72.59,380.58,27.47,25.07,0
2025-01-01 00:17:00,59.54,48,95.5,60.53,72.45,382.81,28.5,83.93,0
2025-01-01 00:18:00,84.82,57,96.75,43.77,47.56,396.54,27.89,81.17,0
2025-01-01 00:19:00,63.99,46,96.64,34.62,52.38,402.25,26.54,88.17,0
2025-01-01 00:20:00,63.15,61,98.01,46.87,59.23,360.58,28.81,64.11,0
2025-01-01 00:21:00,72.94,57,96.86,50.99,59.4,329.69,27.75,46.89,0
2025-01-01 00:22:00,89.86,42,97.81,60.94,75.73,358.74,27.5,66.53,0
2025-01-01 00:23:00,77.37,58,98.53,64.08,77.63,385.89,27.76,34.61,0
2025-01-01 00:24:00,64.76,38,97.65,60.67,66.92,428.21,26.91,27.84,0
2025-01-01 00:25:00,67.87,57,98.84,109.48,109.93,375.63,30.23,38.42,1
2025-01-01 00:26:00,81.25,56,97.41,46.96,53.99,456.45,30.44,65.95,0
